number;floor;room#;type;size;service_time;duration;interval;
0;1;0;0;0;0;1000;0;
1;14;5;0;1;1;52.84351100288552;0; 
2;4;1;1;1;1;57.10210076116424;1.09; 
3;7;18;0;1;1;53.48877868186552;1.09; 
4;3;23;1;1;1;43.69588470324459;1.09; 
5;12;16;0;1;1;39.60023838233475;1.09; 
6;4;14;1;1;1;50.26853866270612;1.09; 
7;7;1;0;1;1;53.08466366891441;1.1; 
8;3;11;1;2;1;47.364427158954015;1.09; 
9;5;18;0;2;1;31.43767709919284;1.09; 
10;4;22;1;1;1;54.793886857040945;1.09; 
11;10;7;0;1;1;51.97903307884559;1.09; 
12;2;20;1;1;1;53.91790098250644;1.09; 
13;7;13;0;1;1;51.02441137230031;1.09; 
14;3;2;1;1;1;49.415789173935;1.09; 
15;10;6;0;1;1;43.439470479261914;1.09; 
16;4;11;1;2;1;61.12875282678205;1.09; 
17;16;8;0;1;1;68.26242398577344;1.09; 
18;4;15;1;1;1;72.17342262647948;1.1; 
19;8;10;0;1;1;62.656437271540426;1.09; 
20;4;6;1;1;1;80.71050432433493;1.09; 
21;8;7;0;1;1;56.577152545013696;1.09; 
22;3;1;1;1;1;56.93829738415441;1.09; 
23;11;14;0;2;1;69.23311304322128;1.09; 
24;3;24;1;1;1;82.44509657321646;1.09; 
25;12;3;0;1;1;60.74809147439713;1.09; 
26;2;13;1;1;1;69.48983235565447;1.09; 
27;14;2;0;1;1;67.83435618506829;1.09; 
28;2;15;1;1;1;74.67882916190676;1.09; 
29;5;3;0;2;1;65.20865986288713;1.1; 
30;4;4;1;1;1;60.73544082420592;1.09; 
31;8;16;0;1;1;64.98085908738622;1.09; 
32;3;18;1;1;1;84.85909506707999;1.09; 
33;13;1;0;1;1;78.64804876386876;1.09; 
34;4;24;1;1;1;78.22686185307383;1.09; 
35;10;24;0;1;1;84.80232267342332;1.09; 
36;4;8;1;1;1;95.85560897435644;1.09; 
37;8;15;0;2;1;72.59705070896737;1.09; 
38;4;13;1;1;1;77.1746411991061;1.09; 
39;15;5;0;1;1;72.94755903514533;1.09; 
40;2;9;1;1;1;69.65854888907484;1.1; 
41;11;1;0;1;1;85.39492515497207;1.09; 
42;2;2;1;1;1;72.08374862733541;1.09; 
43;5;1;0;2;1;83.06942764407566;1.09; 
44;2;12;1;1;1;91.38980327241734;1.09; 
45;12;13;0;1;1;96.9174589123781;1.09; 
46;3;8;1;1;1;97.8006772196117;1.09; 
47;13;10;0;1;1;94.60574878401664;1.09; 
48;3;4;1;1;1;88.97627513724703;1.09; 
49;5;10;0;1;1;81.85588891372475;1.09; 
50;3;15;1;1;1;79.87796845432598;1.09; 
51;10;3;0;1;1;101.59834286137477;1.1; 
52;2;18;1;1;1;80.4827756897991;1.09; 
53;5;15;0;1;1;97.09210250272561;1.09; 
54;4;12;1;1;1;103.89796735483665;1.09; 
55;9;9;0;2;1;89.53281825762629;1.09; 
56;3;22;1;1;1;99.5838621831009;1.09; 
57;5;6;0;2;1;105.30760904561564;1.09; 
58;4;7;1;1;1;107.4918737469915;1.09; 
59;14;15;0;1;1;105.17637803067339;1.09; 
60;3;16;1;1;1;90.34610274281232;1.09; 
61;6;15;0;1;1;115.22483954334659;1.09; 
62;2;6;1;2;1;111.39545593682449;1.1; 
63;8;23;0;1;1;106.34893564892738;1.09; 
64;3;3;1;1;1;102.70387344102842;1.09; 
65;14;16;0;1;1;108.94451911119695;1.09; 
66;4;21;1;1;1;135.499608547175;1.09; 
67;16;5;0;1;1;119.52390239931727;1.09; 
68;2;5;1;1;1;108.04188838355512;1.09; 
69;15;7;0;1;1;123.16810096885158;1.09; 
70;4;3;1;2;1;117.75006942640641;1.09; 
71;10;11;0;1;1;115.54872075283232;1.09; 
72;2;21;1;1;1;117.12643394554362;1.09; 
73;10;17;0;1;1;124.16165875140574;1.1; 
74;4;20;1;1;1;120.33143237863578;1.09; 
75;6;23;0;1;1;128.3326827223844;1.09; 
76;3;17;1;1;1;130.13896141945497;1.09; 
77;8;1;0;1;1;120.39399005652635;1.09; 
78;4;2;1;1;1;119.22673242515978;1.09; 
79;14;14;0;1;1;120.17799735675067;1.09; 
80;3;6;1;1;1;118.8017961754091;1.09; 
81;9;21;0;1;1;114.01580533500402;1.09; 
82;4;10;1;1;1;130.49522972283077;1.09; 
83;15;6;0;1;1;124.96311738444075;1.09; 
84;4;19;1;1;1;131.02275367506812;1.1; 
85;9;7;0;1;1;131.77511033476162;1.09; 
86;3;14;1;1;1;146.45978991961636;1.09; 
87;10;22;0;1;1;134.2870768593397;1.09; 
88;2;1;1;1;1;133.0610391248266;1.09; 
89;8;20;0;2;1;136.64879822497932;1.09; 
90;3;21;1;1;1;121.5756868241296;1.09; 
91;8;2;0;1;1;137.93859758215933;1.09; 
92;3;5;1;1;1;160.10177823630954;1.09; 
93;13;19;0;1;1;146.396495105471;1.09; 
94;3;20;1;1;1;143.45248789262598;1.09; 
95;9;2;0;1;1;137.485722662966;1.1; 
96;2;14;1;2;1;132.9182957361432;1.09; 
97;9;12;0;1;1;163.61984616523415;1.09; 
98;2;17;1;2;1;128.96679649288737;1.09; 
99;9;24;0;1;1;129.0903616322078;1.09; 
100;2;23;1;2;1;155.1523600282876;1.09; 
101;9;13;0;2;1;154.87223104503198;1.09; 
102;3;7;1;2;1;157.4579315250221;1.09; 
103;6;8;0;1;1;143.62615300873568;1.09; 
104;2;10;1;1;1;156.79451019262393;1.09; 
105;10;2;0;1;1;145.90892037372555;1.09; 
106;3;13;1;1;1;151.2549272882287;1.1; 
107;11;19;0;1;1;169.6750954194382;1.09; 
108;3;19;1;1;1;150.72010262577928;1.09; 
109;7;19;0;1;1;164.5812363963268;1.09; 
110;3;10;1;1;1;164.9509687126687;1.09; 
