number	floor	room#	type	size	duration(TW)_1	duration(TW)_2
1	8	1	4	1	15	20
2	13	5	2	2	5	10
3	14	5	4	1	15	20
4	12	10	3	1	10	15
5	14	2	1	1	5	5
6	8	8	1	1	5	5
7	13	14	2	2	5	10
8	8	31	3	1	10	15
9	12	18	2	2	5	10
10	17	5	4	1	15	20
11	17	18	4	1	15	20
12	10	15	4	1	15	20
13	5	25	2	2	5	10
14	10	24	4	1	15	20
15	15	13	2	2	5	10
16	8	18	1	1	5	5
17	14	10	1	1	5	5
18	8	19	2	2	5	10
19	17	20	3	1	10	15
20	13	24	1	1	5	5
21	10	24	4	1	15	20
22	16	1	2	2	5	10
23	9	1	4	1	15	20
24	6	4	3	1	10	15
25	8	14	3	1	10	15
26	16	20	3	1	10	15
27	10	28	3	1	10	15
28	10	20	4	1	15	20
29	9	28	2	2	5	10
30	13	2	3	1	10	15
31	17	30	2	2	5	10
32	5	12	3	1	10	15
33	14	1	4	1	15	20
34	6	4	4	1	15	20
35	10	13	1	1	5	5
36	9	14	3	1	10	15
37	7	10	4	1	15	20
38	17	12	3	1	10	15
39	10	24	4	1	15	20
40	10	8	2	2	5	10
41	7	12	3	1	10	15
42	9	31	4	1	15	20
43	14	18	1	1	5	5
44	10	27	3	1	10	15
45	5	8	3	1	10	15
46	14	1	4	1	15	20
47	13	23	1	1	5	5
48	8	9	1	1	5	5
49	14	22	4	1	15	20
50	17	1	2	2	5	10
51	8	7	4	1	15	20
52	10	3	1	1	5	5
53	15	18	4	1	15	20
54	11	15	1	1	5	5
55	11	20	4	1	15	20
56	14	1	4	1	15	20
57	11	10	1	1	5	5
58	16	15	2	2	5	10
59	15	13	1	1	5	5
60	7	7	3	1	10	15
61	9	7	2	2	5	10
62	7	31	3	1	10	15
63	15	15	4	1	15	20
64	8	1	3	1	10	15
65	9	1	1	1	5	5
66	12	12	1	1	5	5
67	14	18	2	2	5	10
68	13	25	3	1	10	15
69	16	4	4	1	15	20
70	12	2	4	1	15	20
71	6	16	2	2	5	10
72	17	18	2	2	5	10
73	11	2	3	1	10	15
74	6	2	1	1	5	5
75	14	16	2	2	5	10
76	16	8	3	1	10	15
77	5	17	4	1	15	20
78	3	25	3	1	10	15
79	15	10	2	2	5	10
80	7	12	1	1	5	5
81	6	27	3	1	10	15
82	3	29	2	2	5	10
83	7	6	3	1	10	15
84	13	8	1	1	5	5
85	14	21	4	1	15	20
86	5	18	2	2	5	10
87	16	13	1	1	5	5
88	16	13	2	2	5	10
89	3	29	3	1	10	15
90	10	29	4	1	15	20
91	6	31	3	1	10	15
92	15	2	4	1	15	20
93	3	5	3	1	10	15
94	6	25	4	1	15	20
95	9	19	1	1	5	5
96	17	6	4	1	15	20
97	13	7	4	1	15	20
98	5	14	2	2	5	10
99	8	31	4	1	15	20
100	7	4	1	1	5	5
101	3	27	1	1	5	5
102	4	26	2	2	5	10
103	17	17	1	1	5	5
104	15	18	1	1	5	5
105	17	8	2	2	5	10
106	5	12	4	1	15	20
107	7	28	1	1	5	5
108	6	21	2	2	5	10
109	13	1	1	1	5	5
110	14	5	4	1	15	20
111	5	21	4	1	15	20
112	17	3	1	1	5	5
113	11	5	2	2	5	10
114	13	10	3	1	10	15
115	5	26	2	2	5	10
116	15	20	3	1	10	15
117	13	6	1	1	5	5
118	16	5	1	1	5	5
119	14	17	2	2	5	10
120	14	10	3	1	10	15
121	6	4	3	1	10	15
122	11	8	4	1	15	20
123	12	12	3	1	10	15
124	17	20	4	1	15	20
125	5	28	2	2	5	10
126	7	12	2	2	5	10
127	10	9	4	1	15	20
128	7	31	3	1	10	15
129	4	27	1	1	5	5
130	16	9	2	2	5	10
131	10	10	3	1	10	15
132	16	20	2	2	5	10
133	4	25	2	2	5	10
134	2	18	1	1	5	5
135	4	8	3	1	10	15
136	15	14	4	1	15	20
137	9	10	3	1	10	15
138	11	6	3	1	10	15
139	8	9	2	2	5	10
140	16	17	4	1	15	20
141	3	26	2	2	5	10
142	10	17	3	1	10	15
143	4	1	1	1	5	5
144	14	1	3	1	10	15
145	17	19	1	1	5	5
146	2	8	3	1	10	15
147	16	10	1	1	5	5
148	15	6	3	1	10	15
149	6	15	2	2	5	10
150	3	19	4	1	15	20
151	8	23	1	1	5	5
152	12	24	1	1	5	5
153	11	15	4	1	15	20
154	17	14	2	2	5	10
155	7	3	2	2	5	10
156	9	3	3	1	10	15
157	16	7	4	1	15	20
158	14	7	4	1	15	20
159	10	8	3	1	10	15
160	11	25	1	1	5	5
161	17	20	1	1	5	5
162	16	20	4	1	15	20
163	16	12	3	1	10	15
164	6	6	4	1	15	20
165	15	4	1	1	5	5
166	7	20	4	1	15	20
167	16	8	3	1	10	15
168	11	14	2	2	5	10
