number	floor	room#	type	size	duration(TW)
1	2	32	3	1	10
2	2	11	2	2	5
3	3	27	3	1	10
4	3	8	4	1	15
5	4	21	1	1	5
6	2	6	1	1	5
7	3	5	2	2	5
8	4	19	1	1	5
9	3	16	1	1	5
10	4	30	1	1	5
11	3	4	3	1	10
12	4	21	2	2	5
13	4	8	2	2	5
14	4	3	2	2	5
15	3	26	4	1	15
16	3	29	3	1	10
17	2	6	3	1	10
18	4	10	4	1	15
19	4	25	3	1	10
20	4	10	1	1	5
21	2	4	2	2	5
22	4	8	3	1	10
23	2	13	4	1	15
24	6	14	1	1	5
25	8	23	2	2	5
26	10	10	1	1	5
27	7	6	1	1	5
28	5	15	3	1	10
29	5	16	4	1	15
30	9	29	3	1	10
31	6	29	4	1	15
32	9	23	1	1	5
33	7	27	4	1	15
34	7	8	1	1	5
35	7	18	1	1	5
36	7	29	1	1	5
37	8	2	1	1	5
38	9	18	2	2	5
39	8	16	2	2	5
40	6	6	4	1	15
41	9	2	2	2	5
42	5	18	2	2	5
43	10	3	1	1	5
44	8	3	1	1	5
45	7	21	3	1	10
46	9	6	3	1	10
47	6	9	4	1	15
48	5	21	4	1	15
49	8	20	1	1	5
50	8	1	1	1	5
51	9	20	4	1	15
52	5	31	2	2	5
53	9	25	1	1	5
54	7	1	4	1	15
55	9	11	2	2	5
56	8	28	1	1	5
57	5	32	3	1	10
58	6	15	1	1	5
59	8	13	4	1	15
60	6	3	1	1	5
61	8	2	3	1	10
62	8	29	3	1	10
63	8	27	4	1	15
64	8	4	2	2	5
65	8	32	4	1	15
66	10	1	2	2	5
67	8	1	1	1	5
68	5	26	1	1	5
69	9	7	3	1	10
70	6	13	1	1	5
71	10	5	4	1	15
72	7	11	2	2	5
73	7	26	4	1	15
74	5	30	1	1	5
75	7	10	4	1	15
76	10	25	2	2	5
77	10	7	4	1	15
78	6	31	4	1	15
79	10	32	4	1	15
80	10	16	3	1	10
81	6	25	1	1	5
82	8	17	4	1	15
83	7	29	3	1	10
84	10	13	2	2	5
85	5	19	1	1	5
86	6	11	3	1	10
87	7	1	3	1	10
88	9	19	1	1	5
89	6	8	1	1	5
90	7	27	2	2	5
91	6	22	1	1	5
92	9	19	4	1	15
93	10	13	3	1	10
94	5	23	2	2	5
95	5	20	1	1	5
96	9	1	2	2	5
97	10	2	1	1	5
98	9	14	1	1	5
99	5	31	1	1	5
100	7	27	2	2	5
101	10	32	2	2	5
102	6	27	4	1	15
103	9	3	1	1	5
104	7	8	3	1	10
105	6	11	3	1	10
106	8	21	1	1	5
107	11	9	2	2	5
108	12	7	1	1	5
109	11	4	1	1	5
110	14	8	4	1	15
111	14	21	1	1	5
112	14	1	1	1	5
113	14	21	2	2	5
114	12	28	1	1	5
115	12	3	4	1	15
116	12	3	4	1	15
117	11	11	3	1	10
118	13	18	3	1	10
119	14	8	1	1	5
120	13	21	4	1	15
121	12	22	4	1	15
122	13	4	4	1	15
123	11	24	2	2	5
124	13	15	1	1	5
125	13	16	4	1	15
126	11	12	2	2	5
127	14	11	3	1	10
128	11	21	4	1	15
129	11	21	1	1	5
130	13	20	1	1	5
131	13	10	4	1	15
132	14	21	4	1	15
133	14	16	1	1	5
134	13	8	1	1	5
135	14	10	2	2	5
136	11	28	1	1	5
137	14	6	1	1	5
138	13	18	3	1	10
139	14	14	2	2	5
140	12	17	1	1	5
141	14	28	4	1	15
142	13	26	3	1	10
143	12	20	4	1	15
144	14	18	1	1	5
145	14	26	4	1	15
146	14	20	3	1	10
147	11	8	4	1	15
148	11	26	3	1	10
149	14	12	3	1	10
150	16	10	2	2	5
151	17	10	3	1	10
152	15	1	4	1	15
153	15	20	4	1	15
154	15	3	3	1	10
155	16	19	3	1	10
156	17	16	1	1	5
157	16	16	2	2	5
158	17	15	1	1	5
159	17	5	2	2	5
160	17	19	2	2	5
161	17	13	4	1	15
162	16	11	1	1	5
163	16	8	4	1	15
164	16	16	1	1	5
165	15	10	3	1	10
166	17	3	2	2	5
167	16	7	2	2	5
168	17	20	2	2	5
169	17	1	4	1	15
